text,intent
"@AmazonHelp Still not working.  They sent me a link to reset the password, try and sign in with new password and still locked out.",account_or_security
@AmazonHelp Hi. I went to sign into my Prime account today and it said I needed to reset my password. It's was supposed to send me a code in my email but no such code has came. This has but a damper on my holiday shopping. Any solution?,account_or_security
@AmazonHelp Everytime I reset my password - it resets the account that doesn't have prime,account_or_security
@AmazonHelp Only Facebook is linked and I rarely use Facebook. I will be changing my password and unblinking Facebook just in case,account_or_security
@AmazonHelp You told me someone will email me in two days apparently but every time I changed my password it tells me it’s incorrect,account_or_security
@AmazonHelp I need to use my password and email to get to that link...,account_or_security
"@AmazonHelp My frustration stems from not being able to change my email address and password once compromised.  Apple &amp; Google can, @115821 can’t...",account_or_security
@AmazonHelp It said for your security your password needs to be changed then it gave two options of mobile and email for sending code.,account_or_security
@AmazonHelp But that only caused a password change but still the account is locked :(,account_or_security
"@AmazonHelp I got an email that there was an attempt to connect to my account and I was provided with a security code to use, I changed my password to secure my account but when ever I am trying to sign in using my new or old password I can not sign in to my account please advice",account_or_security
"@AmazonHelp I do not know how to contact you by phone. I reset the password, then went to log in told me that I need to check my email.",account_or_security
"@AmazonHelp how come i can not log-in even with the new password i just changed it to? 
Primevideo, not working, Amazon, not working either...
Hoped i could spend my sunday not being frustrated :D",account_or_security
@AmazonHelp I figured it out.  Old password saved in kindle app. New password on Amazon account.  Kindle app couldn't sync but said it was server issue.  Didn't prompt for correct password.  Uninstall and reinstalling app didnt fix. Had to de register device. Now works. Love my Kindle.,account_or_security
@AmazonHelp app recognises that I am logged in but won’t refinish password or fingerprint. Won’t let me do reset either https://t.co/mz7e71sjc6,account_or_security
@AmazonHelp My account has been hacked and e-mail support aren't helping me. Account e-mail/password has changed so can't log in. Help?!,account_or_security
"@AmazonHelp it won't let me sign into my account , I tried resetting password but it still says wrong password?",account_or_security
"@AmazonHelp This time not only has my password been changed so has my email address. It’s been changed to this mailto:__email__.
Laughably the email starts Amazon takes your account security very seriously.",account_or_security
"@AmazonHelp  hey need u r help.
Iam unable to login to my account.
Forgot password is asking Gmail I'd which I don't know.i know mobile no.",account_or_security
"@115821 @AmazonHelp @116016 So an experience that could have been far worse (having my Amazon account hacked into) was made easy by everyone, until it wasn't. 11/X",account_or_security
@AmazonHelp I can't log in.,account_or_security
@AmazonHelp I ordered a Netflix gift card yesterday &amp; I still haven't received the email with the card info &amp; I can't login to amazon.,account_or_security
"@AmazonHelp My Amazon/Kindle account keeps saying ""my password is incorrect"" no matter how many times I type it correctly or change it.",account_or_security
"@AmazonHelp The only ones I saw were for resetting my password, help setting up an account, and getting help without having an account.",account_or_security
"@AmazonHelp I've used that function on both .com and .co.uk - neither has been helpful. 
Password reset function takes &gt;20min to send verification code",account_or_security
@AmazonHelp Have gotten many emails and have spoken to someone from Password Escalation team. None of their suggestions have worked.,account_or_security
"@AmazonHelp I haven't received any emails from Amazon in days. I've tried resetting my password today, yesterday, the day before but I'm not getting the email with the code sent to me.",account_or_security
"@AmazonHelp The first message I got was about checking my inbox for an email from Amazon - by the time I was able to check the code I receive had already expired. I still proceeded to with the two-step verification, double checked my account email and password and still won't work",account_or_security
@AmazonHelp hello.. can u tell me why i received password assistance code on my gmail ?,account_or_security
@AmazonHelp I can't log in to my account to even do that. That's the issue. I have Zero access cause it's been hacked.,account_or_security
"@AmazonHelp When I try to checkout, it takes me to put in my password and when I put in my password it goes back to my cart and says “sorry, something went wrong please try again.” Except I keep trying and just keep getting that message, after restarting, refreshing, etc.",account_or_security
@AmazonHelp Im trying to establish if I had an account hacked after a dodgy email but cant log into the account with that email address.,account_or_security
@AmazonHelp That's having me log in - I can't log in because someone changed my account email.,account_or_security
@AmazonHelp Yes and I reset my password and it try to put in the new password and it says it’s wrong again..,account_or_security
"@AmazonHelp No but child's tablet linked but usually needs a password and get an email, is there a way of seeing on my Amazon account what it is?",account_or_security
@AmazonHelp I can’t login to my account. It says to change my password so I do. Then it says password incorrect. Repeat and no change.,account_or_security
@AmazonHelp my account has been locked. I can't login to access the helpline. Please assist,account_or_security
"@AmazonHelp My account was locked due to suspicious activity (it was me), made me reset my password now I can't log in to my account at all.",account_or_security
@AmazonHelp That takes me to the .com site. I think I need to go to .ca? My password isn’t working there.,account_or_security
"@AmazonHelp Sorry can I have a number as I can only access account via iPad  as forgotten password.
Thanks",account_or_security
@AmazonHelp I'm not sure. My password was working earlier today but now it's not. I was trying to check the my order status but can't login,account_or_security
"@AmazonHelp It says I'm not now because i just cancelled it!
But i was and i never signed up i have changed my password how can i remove my card details so this won't happen again",account_or_security
"@AmazonHelp I bought a $60 digital game and I can’t redeem it because my account is inaccessible. I’ve reseted the password, and when I enter my new password I still can’t log in.",account_or_security
@AmazonHelp my account was recently broken into. Is there a way to get in the account without knowing the email and password?,account_or_security
"@AmazonHelp Hey, I'm trying to reset my password - it says its sent a code to my email address but it hasn't!",account_or_security
@AmazonHelp That takes me to a screen asking me to log in! I can't log in because you have disabled my account!,account_or_security
@AmazonHelp No I haven't. I've tried the reset password thing &amp; every new password I use still doesn't work.,account_or_security
@AmazonHelp Password is in correct,account_or_security
@AmazonHelp that like sends me to amazon login and i said its coming up with Your password is incorrect  still after changing password over 6 times,account_or_security
@AmazonHelp These emails confirm that I have changed my password,account_or_security
@AmazonHelp How can I do it though because it changed my email and only option is resetting password when I click on I can’t log into my account https://t.co/6CFfqE2gym,account_or_security
@AmazonHelp Help form completed 2 days ago &amp; still no contact or resolution.. Password reset codes still not being received .. not great service..,account_or_security
"@AmazonHelp furthermore, i sent the email onto your ""stop spoofing"" in the attempt it was just a spam email. but i can't log in at all..",account_or_security
"@AmazonHelp my account was hacked, but I can’t see where to report that. I already changed my password, but want to inform you.",account_or_security
@AmazonHelp I can't log into my Amazon card account! I tried to reset my password and says my name isn't found!,account_or_security
@AmazonHelp I just changed my password. What's a good place to report this to?,account_or_security
@AmazonHelp Account hacked and no phone call from accounts specialist as promised in 7 days - nothing but the same useless email 5 times.,account_or_security
@AmazonHelp Please re read my tweet. I cannot login or change password. Link provided takes me to a login page??,account_or_security
"@AmazonHelp hi, I’ve had an email and I believe somebody has hacked into my account. They’ve changed my email and password&amp; I can’t access",account_or_security
@AmazonHelp I haven’t received any emails from Amazon except the automated ones telling that I successfully changed my password,account_or_security
@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me,account_or_security
@AmazonHelp someone hacked onto my amazon account and changed the email and password what do i do????,account_or_security
@AmazonHelp Dear  I have problems when entering my account at every moment it indicates  that I have a password error to whom I can send an email to support  thanks,account_or_security
"@AmazonHelp How should I do this? I can't log into my account! Don't you get it?! I reset my password, but the new password is also incorrect.",account_or_security
@AmazonHelp The only emails I received were the codes to reset my password.,account_or_security
"@AmazonHelp but of course it might sign me up again whatever ""it"" is. I changed my password. I'm going to bed soon, I am too tired to fix your systems!!",account_or_security
@AmazonHelp I’m trying to reset my password. They sent a verification email but it doesn’t show up in my emails.,account_or_security
"@AmazonHelp They haven't provided that information. They say to change the password for one of my accounts (I have attempted to and still cannot sign-in), and ignore my inability to not login to my other account.",account_or_security
"@AmazonHelp Yes I have, but still no reassurance/explanation as to how someone can hack into my a/c and see my password and change it, but not see my bank details??",account_or_security
"@AmazonHelp They have said I have to email them from the email address associated with my account, but I can't because that is the exact problem - a hacker has changed the email address and password, apparently by hacking https://t.co/T1GyDuJcVi (not co.UK). I have an email proving it...",account_or_security
"@AmazonHelp Hi, keep getting an error after entering my password on app (something went wrong...) and unable to place orders as well (see video). Any ideas? https://t.co/ts1man3SK7",account_or_security
@AmazonHelp I am having trouble with my account. Amazon keeps deactivating my password and that I will be able to access my account and change my password in 5 hours. I changed my password and it is not letting me into my account. I have reset my password and it says not valid.,account_or_security
@AmazonHelp unable to reset my email password. I've forgotten the pin code I last ordered at,account_or_security
@AmazonHelp AHHHH IM FRRAKING OUT I CLICK EVERY EMAIL THAT SAYS AMAZON! IVE CHANGED MY PASSWORD BUT 😭,account_or_security
@AmazonHelp I filled a form in last night. I can’t access that link  you just sent because I can’t access my account because my password has been changed again.,account_or_security
@AmazonHelp The only email I received gave me a link on how to set a safer password.  I have not had contact with account specialists in ref to issue.,account_or_security
@AmazonHelp Trying to reset my password because I don't remember it and the code isn't coming through. Have tried 3 times!! Not in my junk folder either.,account_or_security
"@AmazonHelp It keeps asking me to sign in, which is the problem I’d like to speak to you about. I’m not receiving any codes to change my password",account_or_security
"@AmazonHelp As I checked,my account has been signed out on all devices,but I still can’t login and keep getting the ‘password is not correct’ message.",account_or_security
"@AmazonHelp @1384 it’s so annoying to enter password in the Amazon now app every single time I have to login.

Why can’t it save like other apps? (Or at least amazon shopping app)",account_or_security
"@AmazonHelp @AmazonHelp ,your customer cafe and email response is very unhelpful, see tge image,i have that issue and all i am getting is password reset https://t.co/2iAajDeOzc",account_or_security
@AmazonHelp Password is incorrect,account_or_security
"@AmazonHelp 1. I was told to just delete items in cart 2. Change all my passwords (amazing email bank) 3.My account was ""wiped"" including all my books",account_or_security
"@AmazonHelp I had an account for years. Back in Oct, I was reviewing my cart and lists when I was booted out of the app and asked to change my password, which I did. Upon logging in again, my user name had changed, none of my history, lists or cart were present. HELP!!! 😊",account_or_security
@AmazonHelp No. What I did was change password and information. I am very concerned. I don't understand how this happened?,account_or_security
@AmazonHelp hi. Got a notification to reset password. Have done. Now have purchases missing from library &amp; all offline music gone,account_or_security
@AmazonHelp I have cancelled and replaced my chase amazon card each time. I’ve changed passwords and last week signed up for 2 step verification which,account_or_security
@AmazonHelp I can’t log into my account. I’ve tried changing my password but it still says incorrect password every time. I need to access it because I bought an amazon egift card and I still haven’t received it.,account_or_security
"@AmazonHelp I got an email about suspicious activity, changed password as asked, now I can't login with the new password. Whenever I click a link up contact you it asks me to login...",account_or_security
"@AmazonHelp Hello, I've been trying to log into my amazon account all afternoon and I've reset my password at the very less 10 times. Help?",account_or_security
"@AmazonHelp Yep. That's the page I had to Google, it's also the page that doesn't remember my password and also the page that bounced my mail..

 There is also no chat on that page. https://t.co/XhXI1mtbpA",account_or_security
@AmazonHelp No I reset my password twice and they still appear but it doesn’t look as though the order were put through.,account_or_security
@115830 @AmazonHelp Can't get into my account. Password reset email code not being received inbox or spam. Help please.,account_or_security
"@AmazonHelp I did not, besides those for password reset and verification codes. Still can't access my account.",account_or_security
@AmazonHelp as i said i can't login cause u blocked my account ! and u left me as the only option to send fax WHICH I CAN'T ?! Can u give me an email?,account_or_security
@AmazonHelp Instead of removing my number from call back you want me to change my password first? You know what you were as much help as they were.,account_or_security
@AmazonHelp No I have not. I have forgotten my password. Need to get my internet up n running. I will. But what is the point? NO RESOLITION.,account_or_security
@AmazonHelp Are you kidding? He has your apologies? Like this is funny?! I can’t feed my dog! I’ve tried chat and someone wanted my card security number or account password! Why don’t you call my phone? That would be good customer service...,account_or_security
@AmazonHelp I cannot get into my account and reset my password. I have forgotten the previous one.  I have not received he mail with that reset link .,account_or_security
"@AmazonHelp Okay, at least I now got a warning that there are two accounts with the same password and managed to set one up with a different email. So here I thought I had no Prime any more for 6 months. Thanks for this stupidity (why on earth can one email have TWO accounts!🤦‍♂️🤦‍♂️)",account_or_security
"@AmazonHelp hi Amazon, I have just had an e mail to say I have changed my e mail address (I haven't)now I can't log in and change my details",account_or_security
@AmazonHelp i can't login on the web browser but the app allows me to login i get a message saying i need to provet that it is me,account_or_security
"@AmazonHelp Yes, have also 'reset password' option on that form and had no email. I get the email using the 'forgot password' on the main website, but after resetting the password, the account still doesn't work.",account_or_security
"@AmazonHelp Thanks CR, but when I phoned (twice) neither person could help and told me that someone would phone me/be in touch. I asked to be transferred to the Password Escalation team and they didn’t know how to do that. Is there nothing that you can do to help please? 🙁",account_or_security
@AmazonHelp I finally received an email saying that no more charges would be made and that I could change my password after 5 hours. Took 2 minutes for @116016 to put a stop to it on my Disney visa.,account_or_security
@AmazonHelp mail __email__ - 79 8471 8690- unable to login even after password change. always says incorrect even after changing password - tired,account_or_security
"@AmazonHelp Account for hacked
Change password 
Account got locked
Suspension for 5 hours
Got new password
Unauthorized purchases
Request help
Account gets locked again
Rinse and repeat for the past 2 weeks",account_or_security
@AmazonHelp To log in tried to rest password and also to skip login with passcode neither work,account_or_security
"There is something severely wrong with @115821 @AmazonHelp website! Reset my password tried using it and the website says ""incorrect password"". How's that possible when I JUST CHANGED IT?! I've tried this multiple times and it won't let me login. WTF is happening here?????🤬😡",account_or_security
"@AmazonHelp I received an alert that an order was ""canceled"" that I never placed, and I keep finding items in my cart that I didn't put there. My password has been changed three times and it does not fix the issue. I can explain the issue better if I can speak with someone.",account_or_security
@AmazonHelp I'm trying to reset password but the email with confirmation code isn't arriving?,account_or_security
@AmazonHelp Serious problem when resetting @115830 passwords using mobile number option. You have *AGAIN* sent a code to unknown email! https://t.co/ZJnijxvEHo,account_or_security
@AmazonHelp i tried the reset password by email option twice and nothing was sent to me. Its a bit of an inconvenience for me to call,account_or_security
"Hey @AmazonHelp I can't log in, yet KNOW FOR A FACT I am using the correct email &amp; password, even reset it to be sure. Help please...",account_or_security
@AmazonHelp Yes to reset the password. We have reset the account after waiting 5 hours we have had the verification code sent and changed it but it’s still not letting us sign in with the new or old password. It started because we had an email saying the email address has been changed,account_or_security
@117634 why so easy for kids to buy apps on the kindle? Why can’t we put a password or something. Now I’m out $30. So mad @AmazonHelp,account_or_security
"@AmazonHelp I have a problem i have reset my password but i have the msg ""Your password is incorect "" can you help me ?",account_or_security
"@AmazonHelp I can't get that link to accept my password anymore I'm out of ideas. I'll just call my bank tomorrow, two days wasted on this and nothing !",account_or_security
"@AmazonHelp I’ve changed my password another 3x using the link you sent, which is the same way I’ve been changing it. I’ll just shop elsewhere this weekend.",account_or_security
"@AmazonHelp My https://t.co/BCvZ4zEJxE account has been hacked, the password and email have been changed. How do I get this fixed? I'm in NZ",account_or_security
@AmazonHelp But i cannot login in my account it says that my account is blocked/locked,account_or_security
@AmazonHelp Can't recover my account. My Password is crct. Even tried resetting the password. Password scsfully changed. Still can't login. https://t.co/OFQxIxCRUm,account_or_security
@AmazonHelp Hi using everything correct as I usually would - even attempted to reset my password just to be 100% sure and getting the below https://t.co/zjKPze8ZrX,account_or_security
@AmazonHelp What if I don't have the email and password used to rent it. It was on my friends account?,account_or_security
how tf do you expect me to change my password if i dont know my current password 😑 @AmazonHelp,account_or_security
@AmazonHelp I already changed the password and this review posted.  I would like my account terminated.,account_or_security
@AmazonHelp your link asks me to sign in but I can't - my password isn't working,account_or_security
"@115830 @AmazonHelp I cannot log in to amazon echo, changed password, nothing works, just get (UnknownOperationException/) can't find out how to fix it/what issue is, so please respond.",account_or_security
@AmazonHelp ... problem in a chance remark. Your procedures need to point out NOT to use a password you’ve already used (not that I knew I had!).,account_or_security
@AmazonHelp I have not gotten an email about a password reset yet.,account_or_security
@AmazonHelp WiFi connection is fine everytime I put in email and press forgot password page comes up with page not connected go to home page,account_or_security
"@AmazonHelp yes, i can't login. my account was blocked last week, i sent the information asked and it was unblocked but my order has blocked it again",account_or_security
@AmazonHelp Since my account has been compromised and the password changed I cannot do this,account_or_security
"@115821 @AmazonHelp please explain how someone can change our account email address but there is NO account security we can speak to about it. 2 days into this already, not sure if fraud charges have been made, and another 24 hour wait ahead. Ridiculous.",account_or_security
@AmazonHelp Ive already sent a notice to get ny password reset 10.minutes ago a need this done now or what ever fucking restriction there is in place removed so i can get back on,account_or_security
@AmazonHelp Tried to change password but now https://t.co/K6tNJxm1P6 doesn't recognise old or new password and I am not receiving the reset code. Help !,account_or_security
@AmazonHelp hi yes your dumbass website won't let me login I changed my password twice now it still won't let me in can you help me please holy  fuck,account_or_security
"@AmazonHelp They suggested resetting my password. But the original issue was that somebody else was using my account to make purchases. It was suggested that I close my account, but accounts are linked to email and I don't want to change my email for a new account",account_or_security
"@AmazonHelp I cannot login to the original account, it is locked",account_or_security
"@AmazonHelp not receiving password reset email, but I get the email from customer support confirming my problem! Argh!",account_or_security
"@AmazonHelp Hey guys, for some reason I'm told my password is incorrect even after I just changed it.  I called on the 12th, was told 1/2",account_or_security
"@AmazonHelp Hi i need help :) Im trying to sign in but there ist always trouble with the password. I change it, but always the same ""password incorrect"". Help please",account_or_security
@AmazonHelp Associates changed my email &amp; passwords. They can login fine but I can't! My regular account logs in but shows no programs or influencer.,account_or_security
@AmazonHelp My password has been the same for years then it suddenly wouldn’t let me now it won’t let me get a new one at all. All emails received fine,account_or_security
"@AmazonHelp Hi. I did my first order, but now I can't log in to my account.  Errror - ""There was a problem Your password is incorrect"" But my pswd is correct",account_or_security
@AmazonHelp I've had no emails only the confirmation  emails that password has been reset and still doesn't let me log in just says incorrect password,account_or_security
"@AmazonHelp Two step verification, in mobile phone? Which has biometrics or password? 

Same does not apply for Amazon shopping app which has much costlier items to purchase!",account_or_security
@AmazonHelp Once i change the password i receive your email which said *my password has changed* but once i try the new password it says incorrect,account_or_security
Hi @AmazonHelp I am still getting these weird emails after someone stole my password 😳 https://t.co/6RRB9IPdhe,account_or_security
"@AmazonHelp Placed an order, got an email to say there has been unauthorized access and to reset password, so I've tried to reset it multiple times",account_or_security
"@AmazonHelp I cannot log in, the error says ""password is incorrect"" even after resetting. This happened on Tuesday 10/24, I was able to call and unlock",account_or_security
@312621 @294370 @AmazonHelp @115850 @115821 @1840 @115851 This is a used laptop asking for password https://t.co/MQAEUPclbh,account_or_security
@AmazonHelp Nothing. I can't even login my account to check my order cos my password don't work i changed it but still says its wrong,account_or_security
"@AmazonHelp Nope
I think whoever switched the emails also had access to my email but, since I had 2FA there, they couldn't change the password",account_or_security
"@AmazonHelp Got an email saying locked out for 5hrs. We had to call, reset password &amp; replace the order after being on the phone for a while.",account_or_security
"@AmazonHelp No. That is the problem. The last I received is about my order. I tried reset my password couple times, but it didn't help",account_or_security
@AmazonHelp @AmazonHelp @116439 @115830 how do I know what my Direct KO password is ??,account_or_security
"@AmazonHelp hello, my primevideo session closes every time i turn off my TV, it's very annoying to put every time the password and e-mail. Can you not close the session or put an easiest way to get into the smart tv app? Thanks",account_or_security
@AmazonHelp I have reset and changed my password multiple times yet it always says it's incorrect,account_or_security
@AmazonHelp Is that a joke amazon! I CANT LOG IN TO CONTACT YOU BECAUSE THEY CHANGED MY EMAIL AND PASSWORD,account_or_security
@AmazonHelp it keep giving me incorrect password but i've reset the password 3 times now and even used a copy/paste on one to confirm i wasnt mistyping,account_or_security
"@AmazonHelp Can't find any from an ""Amazon"" besides my password reset requests. Didn't receive a 'enquiry received' auto response if I should have too.",account_or_security
"@AmazonHelp Yes I get the message:
There was a problem your password is incorrect
 I have made sure I'm entering it in correctly tried resetting 4 times",account_or_security
"@AmazonHelp have contacted your team as my account has been fraudulently changed email and password, but they can't help me. please help!",account_or_security
"@AmazonHelp Hello, I'm unable to log into an account I probably haven't used in 3 years, but need to access. I've even reset the password twice but it's still not letting me in. Can you offer any support?",account_or_security
@AmazonHelp clicked forgot password and didn't pass security qs (despite all answers being correct!) and now i am locked out.,account_or_security
"@AmazonHelp In your page the website need to login , i can't login...",account_or_security
@AmazonHelp Hello? So how do I contact someone if I can't log in?! I'm really concerned about what is happening with my acct and who has access to it!,account_or_security
@AmazonHelp i'm unable to add another account to my amazon fire even though im putting in the correct password everytime.,account_or_security
"@AmazonHelp received an email saying I have changed my password , I haven’t. I now can’t access site. Please help me get a new pw please.",account_or_security
@AmazonHelp I cannot login to my amazon account even if my password is correct.What is going on?,account_or_security
"@AmazonHelp hello, it seems that the code generator is not working. Trying to reset my password and hitting a wall. Can you help ?",account_or_security
"@AmazonHelp WTFwhy do I keep getting a error with my account saying""there was a problem your password is not correct I havereset the thing 5",account_or_security
@AmazonHelp Dumb ppl. Raise request to ur team regarding __email__ related account.ok.if u need password let me know,account_or_security
@AmazonHelp I’ve changed email addresses and also forgotten my amazon password.  Can I get the email address on my account changed or my mobile added to it?,account_or_security
@AmazonHelp Still waiting for the password reset maybe by #cybermonday https://t.co/4hX6ZAHHZi,account_or_security
"@AmazonHelp No I haven't. I I've only received the regular confirmation codes, but I followed by a confirmation email of the password change.",account_or_security
"@AmazonHelp If 1, why did they not take further advantage of my account and only sign me up for a free trial of Prime? Odd, for sure, but changing my password should fix the problem",account_or_security
@148042 @AmazonHelp I'm having the same issue - 'incorrect password' yet its not. no emails about account being locked. the code you send to reset password is not being delivered either.,account_or_security
"@AmazonHelp hahahaha, you sent me this yesterday. If my problem is, I can't login, how do you expect me to complete this page I have to log in to?",account_or_security
@AmazonHelp I can't login to my account. I've reset the password successfully and I can't login,account_or_security
"@AmazonHelp Screen for payment option is not reachable , password is sought repeatedly",account_or_security
@AmazonHelp But I can't troubleshoot as he does not know his password or log in details and it's stuck on optimisi g screen so it wont let me do anythin,account_or_security
@AmazonHelp hi. When I enter my email address and password I am seeing 'we cannot find an account with that email address'. Any ideas why this might be? They are stored in the browser so is definitely the correct credentials.,account_or_security
@AmazonHelp I am having problems logging into my account and resetting my password,account_or_security
"@AmazonHelp No, only an email with following info (see screenshot).
If I now change my password I'm still unable to login... He keeps giving the message wrong password.
I think my account is somehow blocked, can this be unblocked please? https://t.co/2Hh2G3GlKX",account_or_security
@AmazonHelp can you please give me an email to contact to resolve this? I can't do any troubleshooting without being logged in but can't login.,account_or_security
"@AmazonHelp Sure, I have attached a screenshot below, every time it shows same, even I tried to reset password, but once I reset it, the error is same. https://t.co/Vppez8oFqs",account_or_security
"@AmazonHelp I've changed my password, and I'm having trouble logging in. Can someone help, please?",account_or_security
"@AmazonHelp ...my password. After checking my account, my display name was different, and all my past orders along with...",account_or_security
"@AmazonHelp I did that, but it just gives me options to reset my password etc.",account_or_security
@AmazonHelp i enter correct password https://t.co/Jbqlaot7Ak,account_or_security
@AmazonHelp Oh I have checked and nothing and even the trash since password resets go right to my trash folder,account_or_security
@AmazonHelp Quite a few e-mails have been received advising exactly the same thing. Password resets which do not work. I have got stuck in a loop and I am now becoming quite dizzy.,account_or_security
"@AmazonHelp No, they changed the password, then changed emails",account_or_security
"@AmazonHelp My password is incorrect and when I reset it, it still shows incorrect password:( My account is 3 days old.",account_or_security
"@AmazonHelp 
Hello, i can’t login into my account. 
I changed my password but still is incorrect?
__email__ https://t.co/st4ZgyQlsd",account_or_security
@AmazonHelp just keeps saying incorrect password.... and i got an email saying i just purchased something.,account_or_security
@AmazonHelp Yes I know the passwords but sorting this out via Twitter is not efficient. How can I get someone COMPETENT to call me?,account_or_security
@AmazonHelp My STARZ account does not recognize my email as active to activate the account. I have burned through many representatives who don’t speak English. The latest reset my amazon password. It’s getting hilarious.,account_or_security
"@AmazonHelp It looks like you all were having website problems last night. Other people on another site reported password errors, certificate errors and being unable to check out. I guess you all in CS were the last to know.",account_or_security
"@AmazonHelp I've tried with .com and .es
No difference, can't enter my Amazon account even after another password change, still shows as ""incorrect"".",account_or_security
@115821 @AmazonHelp I don't think I've ever had as much complications and aggravations as dealing with your CS and this ridiculous 2 step verification I'm forced into. Now I can't login because my phone was stolen and thus can't get the code you keep sending. Ridiculous.,account_or_security
@AmazonHelp It's sorted. I went onto community help and managed to get my account back(the hacker hadn't changed my password).x,account_or_security
"@AmazonHelp Just sent me an email to change my password. Same as previous two times. I needed help as to why it was happening, none was given. The operator was fine btw, she was just being advised from someone else, and being advised badly.",account_or_security
@AmazonHelp I have no idea whether it is on hold or no.Tried changing the password stll showing incorrect password.regstrd id __email__,account_or_security
"@AmazonHelp Tried to login, used wrong password, sent verification code many times, nothing has arrived. Checked spam as well.",account_or_security
@AmazonHelp I have to sign in in order to do that but I can't cause I keep getting the same incorrect password message when my password is correct,account_or_security
"@AmazonHelp I’m getting an error. The app reads, “something went wrong, please try again later.” That’s if I use the correct password. If I use an incorrect one I get the prompt saying it was entered incorrectly. This is 100 out of 100 times",account_or_security
@AmazonHelp Someone hacked my account and changed the email and password so I no longer have control of it at all. Someone help me please get my account back and tell me how I go about getting in contact with someone to help me.,account_or_security
@AmazonHelp Ya ive tryed to sign in says its wrong password or email yet my passwords not wrong or my email also not givin option to change email,account_or_security
@AmazonHelp Will recall password tomorrow and will do. U r not going to take any action in any way. 3 products ordered n all in same conditions.,account_or_security
Help @AmazonHelp someone changed my email and password for my account. I can’t login now. https://t.co/EqOSaqluIC,account_or_security
"@AmazonHelp hello, someone hacked my amazon account and changed my email and password. I have the email to prove it. Please help me",account_or_security
@AmazonHelp And I can’t get back into my Amazon acct as now it says my password is incorrect - impossible since I used it 30 minutes ago. Ongoing problems.,account_or_security
"@AmazonHelp When i try to use the link provided, it asks for me to login?. I tried to login/change my password i get the  message. THERE WAS A PROBLEM, WERE SORRY. WE WERNT ABLE TO IDENTIFY YOU GIVEN THE INFORMATION PROVIDED.",account_or_security
"@AmazonHelp To reset my password. Your system will not send me a code or a link. My email works, I’ve tested it, &amp; you’ve sent me ads.",account_or_security
